"Pnum","Age","Gender","Mot_Explore","Mot_Knowlege","Mot_Learn","Mot_Independent","Mot_Understand","Mot_GiveBack","Mot_Financial","Mot_Help","Mot_Honor","Mot_Rolemodel","rfqpro1r","rfqpro2","rfqpro3","rfqpro4r","rfqpro5","rfqpro6r","rfqpre1r","rfqpre2r","rfqpre3","rfqpre4r","rfqpre5r","RFApro2","RFApro3","RFApro4","RFApro5","RFApre1","RFApre2","RFApre3","RFApre5","RFHpro2","RFHpro3","RFHpro4","RFHpro5","RFHpre1","RFHpre2","RFHpre3","RFHpre5","RFRpro2","RFRpro3","RFRpro4","RFRpro5","RFRpre1","RFRpre2","RFRpre3","RFRpre5","questionnaire1","questionnaire2"
113,18,2,7,7,7,7,7,7,7,1,5,7,2,5,5,4,5,1,1,2,5,NA,2,5,3,6,5,6,5,6,2,7,4,6,5,7,5,4,4,7,7,7,7,7,7,7,7,1,1
114,19,2,5,5,6,5,5,6,7,3,6,7,1,5,4,4,5,4,1,1,5,1,1,6,6,7,6,7,6,6,7,3,5,5,5,3,3,3,3,3,3,6,5,5,5,6,3,1,1
115,19,1,5,7,7,7,7,7,7,7,7,7,3,5,3,5,5,1,4,4,4,4,5,6,6,6,6,6,6,6,5,5,4,5,5,4,6,5,4,4,3,5,6,5,5,5,3,1,1
116,19,1,5,5,6,5,4,2,7,2,2,2,1,4,4,1,5,4,3,1,4,2,4,5,5,6,3,5,4,6,2,4,2,3,5,5,5,6,2,4,3,6,3,5,4,6,3,1,1
117,20,1,7,6,6,6,1,7,6,5,5,7,2,4,5,1,5,1,2,2,4,2,3,5,5,7,6,4,5,6,5,5,5,5,5,5,5,5,4,5,5,5,5,6,6,5,5,1,1
118,18,2,7,7,6,5,6,6,5,4,7,6,2,3,4,3,4,1,3,3,4,4,2,4,5,6,4,6,6,6,5,4,4,5,5,5,5,4,4,6,6,5,6,6,6,6,7,1,1
119,19,1,5,5,3,3,6,3,7,6,6,3,2,4,5,2,5,2,3,4,3,4,2,6,7,6,6,6,6,7,6,5,5,6,6,2,5,6,6,5,3,5,5,3,3,4,4,1,1
120,19,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,2,5,5,4,1,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
121,19,2,6,6,6,6,6,6,6,1,6,6,1,5,4,2,5,5,2,2,4,3,4,4,5,5,5,2,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
122,19,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,4,4,3,2,2,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
123,19,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,2,4,3,2,3,4,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
